8636126004,10126637@N02,2013-04-07 15:59:12.0,12,"burial_chamber,kasbah,mausoleum,catacomb,alley"
8635021631,10126637@N02,2013-04-07 16:08:16.0,11,"loading_dock,barndoor,burial_chamber,basement,sauna"
7133494159,10216976@N05,2012-03-19 12:10:49.0,18,"highway,runway,landing_deck,promenade,desert_road"
7133492891,10216976@N05,2012-03-19 12:12:19.0,18,"lighthouse,mosque/outdoor,castle,kasbah,oilrig"
7909379802,10297667@N06,2009-10-19 19:19:52.0,18,"hotel/outdoor,fountain,street,ice_skating_rink/outdoor,downtown"
7909378764,10297667@N06,2009-10-20 11:59:35.0,18,"mausoleum,kasbah,mosque/outdoor,temple/asia,pagoda"
7909378182,10297667@N06,2009-10-20 12:30:54.0,18,"mosque/outdoor,mausoleum,lighthouse,kasbah,oilrig"
7909377748,10297667@N06,2009-10-20 14:03:50.0,18,"canal/urban,watering_hole,river,lock_chamber,construction_site"
7909377308,10297667@N06,2009-10-20 14:05:32.0,18,"kennel/outdoor,loading_dock,stable,jail_cell,barndoor"
7909376910,10297667@N06,2009-10-20 14:12:30.0,18,"lighthouse,mosque/outdoor,tower,pagoda,water_tower"
7909376692,10297667@N06,2009-10-20 14:16:59.0,18,"vineyard,field/cultivated,tundra,village,industrial_area"
7909376086,10297667@N06,2009-10-20 14:22:55.0,18,"vineyard,desert_road,village,desert/sand,beach_house"
7909375574,10297667@N06,2009-10-20 14:23:52.0,18,"recreation_room,amusement_arcade,ballroom,throne_room,oilrig"
7909375086,10297667@N06,2009-10-20 14:36:32.0,18,"boxing_ring,jail_cell,mezzanine,loading_dock,elevator_shaft"
7909374538,10297667@N06,2009-10-20 14:42:37.0,18,"street,alley,driveway,crosswalk,plaza"
7909371670,10297667@N06,2009-10-20 15:31:22.0,7,"mausoleum,kasbah,mosque/outdoor,viaduct,aqueduct"
7909371090,10297667@N06,2009-10-20 15:46:42.0,7,"forest/broadleaf,cemetery,bamboo_forest,forest_path,park"
7909370428,10297667@N06,2009-10-20 16:02:14.0,7,"rice_paddy,lawn,baseball_field,hayfield,burial_chamber"
7909369918,10297667@N06,2009-10-20 16:19:26.0,7,"mosque/outdoor,mausoleum,palace,courtyard,bullring"
