15	17	1
31	11	8
81	0	6
140	1	4
195	8	6
234	2	13
270	14	2
272	1	1
32	9	2
126	4	1
195	2	4
289	18	1
311	7	2
4	1	8
5	0	1
117	14	1
176	5	1
297	1	5
300	1	1
359	3	5
527	11	1
239	0	1
295	0	12
484	0	4
520	12	5
98	2	2
143	22	1
366	4	1
393	10	1
394	2	1
209	15	1
226	7	1
36	4	10
165	11	1
200	18	1
359	2	1
390	8	1
436	10	1
143	18	2
150	4	21
276	5	2
524	3	3
177	10	1
244	13	6
244	1	3
432	18	1
288	11	7
319	20	1
375	0	7
172	15	1
232	15	1
249	1	1
258	4	2
342	2	1
415	1	1
10	13	55
53	14	1
75	10	2
92	10	9
124	13	1
156	1	32
194	5	1
243	5	5
314	15	1
6	2	3
81	12	1
104	8	5
146	3	7
270	2	1
309	3	1
336	4	1
397	14	5
159	10	4
334	4	1
479	1	2
481	14	5
515	4	1
71	2	1
88	1	1
105	5	1
281	1	2
310	5	10
440	1	1
187	2	1
377	10	3
410	3	1
48	10	8
61	11	19
131	1	7
197	15	2
235	3	1
280	5	4
492	11	2
35	18	1
36	6	4
131	17	1
140	2	10
157	1	2
307	8	1
366	3	4
507	1	1
8	10	5
140	18	2
203	3	1
216	2	1
59	3	3
108	1	3
149	3	2
176	15	3
295	8	43
516	17	4
245	15	2
254	19	1
288	13	2
370	1	1
377	8	1
486	11	1
22	0	3
68	14	7
105	1	5
151	2	3
234	4	3
267	6	1
515	14	2
43	0	1
93	3	2
139	10	1
142	11	6
236	16	1
340	19	1
363	4	1
415	11	6
446	3	1
457	9	2
486	13	1
28	5	1
37	1	81
38	10	2
95	3	1
175	16	1
247	10	5
331	1	1
92	17	1
156	10	2
249	2	4
407	0	3
167	3	1
201	2	3
351	5	1
384	23	26
457	10	6
0	3	2
154	8	1
175	5	1
195	13	4
60	3	2
140	13	22
163	17	1
521	15	2
524	1	2
11	15	2
96	22	12
361	5	2
524	17	1
35	4	44
205	11	8
450	18	3
3	8	1
32	1	2
130	0	2
144	12	2
174	6	1
252	13	1
341	3	1
131	15	6
164	13	4
167	2	1
404	6	1
498	6	1
512	13	8
63	4	2
144	17	1
408	13	1
23	0	4
54	23	63
85	16	1
110	16	14
237	13	9
267	3	2
375	16	2
397	11	1
0	6	14
112	10	1
144	4	19
156	5	4
226	13	1
444	3	1
85	4	2
109	2	1
133	2	1
234	6	7
442	11	11
493	3	5
524	2	1
166	3	2
275	2	1
324	5	4
333	11	1
413	1	15
82	21	49
182	4	73
228	13	2
437	11	1
441	3	46
520	14	10
30	19	1
206	5	3
62	3	6
266	1	3
310	1	4
363	14	12
105	11	17
119	17	2
144	19	3
280	3	6
364	15	1
491	22	1
108	13	3
109	3	3
210	17	14
283	1	4
394	14	2
466	11	5
1	7	10
6	3	3
236	13	4
363	20	1
367	5	1
485	15	1
504	10	1
59	2	1
363	5	10
365	13	2
403	18	1
481	23	1
4	10	28
122	5	94
346	4	1
372	15	1
520	5	8
522	11	2
305	3	2
337	14	2
349	17	1
189	5	2
234	18	1
249	11	13
260	17	24
307	12	1
315	0	1
361	2	2
379	11	1
436	2	14
440	6	8
288	10	3
370	11	2
453	10	2
512	2	5
64	18	1
136	1	1
158	15	1
194	15	3
206	20	2
288	19	9
47	13	1
176	10	5
280	1	14
420	18	2
457	19	1
86	2	4
136	17	2
188	1	1
207	10	2
420	13	3
182	13	31
229	3	1
478	4	47
283	8	41
338	18	1
36	13	1
58	3	3
130	12	7
189	1	9
206	16	3
258	15	1
491	16	1
23	5	2
48	19	1
170	12	1
375	5	2
504	6	10
77	6	288
139	19	3
298	11	2
307	1	3
391	15	12
61	0	10
85	20	9
199	2	1
336	15	1
391	1	3
447	3	1
75	3	4
95	2	3
115	1	2
377	5	25
384	1	4
434	23	21
481	10	6
78	14	1
182	6	71
144	0	22
244	0	8
46	5	1
75	1	7
88	3	1
170	3	1
452	21	1
522	2	2
53	4	4
92	5	1
189	20	1
200	6	3
218	1	1
332	11	1
441	2	1
500	19	55
92	18	1
171	15	2
195	5	4
292	7	1
334	13	4
389	2	1
453	6	1
480	19	1
87	2	1
233	1	1
396	10	1
405	1	1
450	11	7
462	1	1
85	22	1
154	15	1
265	1	1
277	15	1
370	13	1
427	11	1
192	19	9
261	25	1
262	6	1
280	4	4
202	13	2
319	23	1
8	3	6
101	5	2
326	14	21
356	3	2
491	13	15
0	5	6
162	2	2
250	5	3
280	9	1
280	8	3
333	0	2
468	1	2
316	3	1
480	1	1
44	11	1
306	14	1
397	15	50
451	8	1
476	11	2
144	15	115
152	5	3
192	13	2
195	4	1
248	5	1
268	5	1
348	2	1
386	4	2
392	0	1
495	1	1
505	1	3
27	6	1
57	0	4
208	0	1
275	11	1
282	1	16
285	11	8
116	4	1
120	13	4
126	2	1
414	1	1
420	6	1
77	0	512
103	1	5
192	6	63
286	6	2
412	8	1
436	3	27
436	5	4
467	1	2
517	3	2
26	1	3
42	21	1
450	8	6
508	1	1
143	13	3
193	5	1
216	15	12
331	22	3
478	12	5
499	13	1
523	3	1
67	8	2
94	14	1
276	8	1
366	13	1
389	5	1
521	22	1
131	8	1
269	5	1
307	15	1
359	1	9
110	2	2
218	8	1
365	2	5
370	10	2
376	10	2
440	13	1
437	23	2
24	3	1
81	14	2
140	8	11
189	2	8
225	13	24
242	2	2
380	5	4
391	3	7
507	5	1
123	23	9
175	6	1
217	23	1
246	8	1
296	10	1
360	4	1
442	6	8
458	18	3
511	11	1
145	1	1
182	22	2
264	13	1
360	15	1
401	18	1
450	3	13
515	6	4
330	2	1
9	12	12
140	19	1
440	14	4
144	8	75
192	1	5
385	6	1
4	2	7
43	1	1
60	2	6
407	8	1
434	3	8
83	3	2
114	3	11
194	2	3
214	3	2
347	18	1
454	1	2
470	11	1
144	2	1
151	10	5
195	14	1
278	1	1
319	11	3
439	0	2
31	17	2
148	11	2
156	8	1
319	13	2
490	12	1
8	2	1
34	0	2
228	15	1
280	2	8
378	18	2
408	6	1
453	13	2
81	5	1
85	17	2
189	18	14
425	6	1
22	13	5
81	1	4
85	10	2
181	19	1
195	19	1
297	13	7
328	2	1
356	2	1
493	15	11
480	14	1
133	5	5
269	1	3
352	4	2
359	14	3
12	18	4
24	2	3
56	2	15
283	5	5
370	5	1
379	2	1
92	13	1
186	10	1
217	16	1
273	0	4
293	14	7
501	14	6
502	0	8
69	13	1
81	2	5
140	15	12
230	10	1
478	10	79
492	10	1
304	11	1
339	13	1
151	1	3
187	4	4
220	1	1
152	3	1
195	0	1
269	10	1
283	2	1
407	10	42
424	13	11
501	5	1
524	0	2
12	19	1
32	3	1
46	0	1
67	1	2
259	10	1
322	11	1
493	13	5
81	4	2
155	4	3
305	0	2
397	13	5
454	3	2
506	11	1
8	11	5
77	4	160
126	1	1
194	10	11
306	2	1
383	4	4
417	11	2
449	2	1
313	0	1
321	11	8
347	13	133
422	8	1
469	24	1
10	3	2
244	15	4
375	6	2
417	13	13
490	8	2
491	18	3
53	8	1
83	10	1
90	13	3
177	3	2
187	14	3
258	14	1
387	1	1
396	25	22
414	3	1
454	20	4
454	11	4
71	13	22
111	15	1
144	1	5
153	5	3
364	1	2
387	5	1
491	3	7
11	8	1
113	11	1
149	24	1
154	13	15
156	6	2
183	10	2
219	13	25
482	3	1
11	14	8
244	14	1
344	14	1
361	8	2
446	10	1
526	1	2
97	11	2
116	3	1
335	0	1
386	5	3
455	10	1
172	5	1
180	3	2
245	13	3
457	5	1
85	6	5
307	23	1
308	8	1
356	23	1
432	13	1
460	6	1
86	13	2
152	14	2
188	2	1
191	0	1
91	14	1
202	16	1
287	14	2
297	10	3
490	15	1
57	15	1
130	10	5
157	3	7
185	16	42
451	19	1
459	0	14
35	13	2
56	10	1
92	3	1
175	1	2
195	3	6
397	3	35
22	8	1
86	18	1
116	2	3
181	15	1
366	14	1
404	4	3
430	2	1
391	0	13
518	14	1
55	4	29
58	10	1
69	1	1
149	1	3
339	0	1
494	0	1
52	1	1
171	14	22
187	0	1
268	1	4
372	0	6
375	2	8
390	15	1
135	4	1
166	1	20
189	0	4
245	2	1
434	1	1
475	1	1
521	16	7
528	11	1
11	16	1
223	5	1
377	14	71
51	15	3
94	1	1
96	13	5
195	18	13
320	10	1
56	3	1
161	16	1
396	2	1
52	3	1
81	3	9
85	18	9
131	0	3
295	4	87
346	6	2
395	10	1
456	14	1
35	16	17
59	23	2
157	2	1
234	0	4
348	3	1
40	19	1
85	2	2
97	1	1
126	16	2
136	3	2
161	5	13
310	14	32
386	6	8
437	8	1
447	14	43
209	2	3
215	2	1
237	11	3
242	14	7
282	6	29
365	22	4
31	2	4
110	8	3
281	3	1
510	20	7
118	8	1
159	1	2
183	2	1
292	3	1
295	10	26
339	11	4
370	8	1
418	0	1
504	2	1
4	9	1
41	2	5
92	11	8
139	12	1
182	16	4
244	10	4
245	1	2
391	10	4
413	12	1
490	1	3
512	16	1
52	10	1
81	8	2
411	11	5
70	2	1
173	5	1
363	22	1
436	1	12
453	1	2
195	23	2
16	10	27
53	16	1
126	3	3
258	13	5
398	6	1
11	13	10
53	1	4
60	11	49
98	10	1
125	15	8
152	1	8
305	4	3
453	16	1
92	2	18
450	0	3
477	3	1
154	1	4
162	1	2
176	16	1
253	18	2
264	1	20
58	1	1
132	8	18
156	3	14
434	10	12
434	6	2
435	5	1
31	15	53
156	13	1
206	13	2
355	10	1
388	2	4
496	1	17
19	4	1
25	1	4
313	2	1
327	16	8
362	6	1
369	0	1
491	20	13
493	2	10
23	13	26
189	19	1
189	17	3
202	6	4
450	4	6
11	10	1
81	10	10
139	6	1
165	9	1
513	2	1
91	13	2
97	13	1
102	10	1
127	6	1
195	10	2
225	6	13
307	10	1
338	13	1
514	1	2
73	1	1
76	11	1
162	8	5
189	8	1
85	13	28
102	15	12
195	15	3
267	2	1
284	14	1
287	3	2
295	23	15
426	6	1
128	8	1
182	2	6
207	2	8
276	15	2
280	10	3
440	16	5
481	1	3
504	4	14
512	5	3
189	15	4
276	1	1
304	5	1
363	23	1
370	3	1
57	2	1
413	11	13
468	2	1
525	0	5
142	0	1
209	4	5
479	10	2
80	3	1
131	11	14
144	18	2
152	4	12
218	2	1
260	3	52
443	2	15
465	0	3
35	6	4
148	0	4
256	1	2
282	14	2
289	14	1
359	21	44
396	14	2
462	2	1
34	4	1
71	1	1
325	14	1
465	23	1
70	14	1
257	0	17
301	4	1
109	1	2
170	10	1
428	3	2
442	1	1
72	5	1
141	10	1
182	20	28
213	0	1
312	1	1
460	9	1
81	18	1
156	2	13
158	23	7
197	10	1
496	3	1
189	16	1
220	2	1
367	15	1
382	6	5
219	2	7
220	3	1
421	11	1
71	18	1
90	0	1
161	2	2
196	2	1
253	13	2
339	18	1
438	13	7
444	2	40
11	1	10
94	15	1
126	10	4
138	5	4
189	13	11
240	23	2
279	1	1
330	15	2
363	18	1
374	5	1
397	23	4
497	0	17
41	20	7
206	11	5
345	11	4
363	10	1
410	2	1
504	3	3
526	10	1
65	5	1
89	1	1
445	10	5
19	10	4
107	3	1
120	5	1
144	5	13
221	15	1
346	13	2
357	0	2
363	15	1
32	8	2
244	8	2
371	10	2
375	3	3
457	14	3
144	10	4
222	10	1
292	4	2
348	13	1
402	5	6
