479	6	16
575	10	1
48	22	1
117	25	4
201	2	1
490	23	2
201	5	1
754	15	1
64	27	2
367	12	2
558	17	1
368	6	1
465	31	62
672	12	4
188	5	2
250	12	2
367	10	9
82	13	1
513	26	1
429	12	10
490	15	3
712	13	11
19	1	1
56	1	1
159	15	4
11	13	2
496	28	1
144	31	19
384	14	1
414	6	1
268	12	1
748	21	1
788	3	3
77	25	8
94	3	3
234	10	2
343	1	4
348	15	1
490	2	1
534	13	3
729	15	3
239	3	17
265	4	4
372	8	4
35	23	1
47	30	2
301	25	2
520	23	6
626	15	1
292	24	14
788	0	1
82	31	1
127	18	16
505	25	1
686	12	3
820	3	28
304	31	1
428	15	1
521	19	1
490	10	5
784	21	3
133	29	2
229	10	1
279	2	4
386	21	1
401	23	1
551	19	5
542	19	154
577	5	1
53	9	2
83	28	8
299	8	3
365	6	3
725	19	6
140	3	2
180	12	6
279	17	1
530	8	4
704	23	13
633	22	1
803	21	2
253	25	1
321	8	6
601	2	4
353	4	1
339	4	1
525	5	55
46	1	5
165	7	38
212	4	4
50	12	1
523	4	1
722	23	2
673	19	1
713	15	1
34	17	1
188	22	2
607	6	1
37	9	5
339	9	1
817	0	1
2	8	1
152	3	1
575	35	1
154	10	1
450	3	4
487	4	1
612	24	4
197	1	1
593	2	2
117	13	13
404	5	3
788	29	2
88	20	31
321	23	9
531	1	13
103	20	1
489	21	4
803	19	1
377	9	1
573	23	2
721	19	1
772	12	1
797	21	3
33	2	28
158	31	5
160	6	18
773	10	1
255	15	1
331	23	2
379	22	4
459	10	2
580	21	1
88	29	14
281	26	138
428	21	18
625	15	16
659	12	1
677	28	2
70	12	1
271	11	1
333	21	4
265	31	3
450	21	2
584	13	3
306	28	1
344	8	2
418	4	8
136	17	2
154	2	1
229	2	11
281	13	30
290	8	1
611	0	1
798	4	1
83	0	1
154	27	2
262	30	1
484	20	1
135	10	3
484	25	9
628	19	3
258	19	2
511	8	1
666	5	2
725	8	1
102	10	2
404	12	1
575	1	1
594	28	7
26	0	1
223	17	6
728	3	12
367	21	3
395	9	3
428	18	5
47	2	4
78	15	2
191	1	1
702	2	1
820	22	1
296	2	2
349	8	1
576	6	1
690	35	2
739	2	1
788	23	1
626	1	4
532	5	1
440	25	1
528	10	1
77	12	2
321	24	20
365	7	1
496	2	1
754	31	3
125	17	3
367	14	1
685	9	1
796	19	3
633	28	5
716	19	38
794	13	1
15	24	2
79	12	4
534	16	1
712	27	21
600	31	1
763	2	4
824	19	1
