13991984@N05,20
74612729@N00,305
87533642@N00,356
29242611@N05,90
39952962@N00,152
43754375@N00,176
44124362019@N01,179
12384872@N08,9
23090753@N06,51
24694600@N00,61
25888224@N03,70
67917860@N00,274
79961175@N00,323
21903607@N04,41
24896306@N00,62
39173558@N03,149
44926895@N07,185
12505664@N00,12
30099537@N02,97
47173486@N00,191
49708294@N07,207
89965849@N00,366
12810816@N08,15
30717090@N06,101
79877212@N00,321
85248599@N00,349
8852942@N08,361
8891828@N05,362
91267084@N00,371
17267375@N05,28
32635026@N00,108
50038401@N02,212
71311519@N00,286
84275582@N03,343
21147679@N08,35
25888083@N00,69
44152183@N07,181
48566562@N06,199
56996210@N06,238
67340503@N05,271
71039892@N00,284
77736600@N00,319
28808573@N04,88
36362496@N02,134
40772617@N07,159
44966693@N00,187
13322960@N00,18
64667184@N02,266
9252705@N03,375
52527003@N00,222
59024453@N06,244
76758469@N00,313
8203293@N03,335
36749444@N06,138
40741666@N05,158
41031482@N04,161
42740044@N05,169
47335063@N08,192
77034082@N00,314
98533355@N00,397
15702545@N00,25
20448026@N00,34
37029412@N00,141
39294044@N00,150
49296659@N00,203
52585985@N06,223
65070919@N02,267
71321381@N00,287
11354044@N05,4
44124450615@N01,180
44954349@N00,186
46464136@N00,190
92636246@N00,376
21772716@N03,39
29298454@N00,91
32877343@N07,110
62942199@N08,258
36328344@N04,132
44851088@N00,184
63766699@N00,262
69902437@N00,281
25619049@N04,67
32006782@N00,107
34850133@N03,119
35034350382@N01,124
77526889@N00,316
96301288@N00,388
43935389368@N01,177
48355243@N00,198
49462908@N00,205
61585804@N00,251
15308437@N00,24
22087824@N00,43
22783145@N04,48
35034349721@N01,123
63974906@N00,263
77581941@N00,317
8509783@N03,347
12527903@N00,13
29200401@N03,89
36521977832@N01,136
74527865@N00,304
92100908@N05,374
56728000@N00,234
64015960@N00,264
70499124@N00,283
81211130@N00,329
68743756@N00,280
22669489@N00,46
23204349@N00,52
36521984920@N01,137
54164862@N00,226
81788993@N00,333
24564553@N08,58
25501326@N02,64
35043861@N08,125
45541732@N06,189
23063899@N07,50
36976184@N02,140
54511827@N00,227
62388035@N07,255
26989796@N03,79
29989965@N00,95
33752889@N08,115
8553222@N02,350
55299380@N00,229
94178263@N00,380
13101664@N03,17
38227973@N07,146
49787588@N00,208
50507715@N00,214
73024804@N00,298
85736811@N00,352
8909846@N06,364
14003952@N04,21
17835110@N00,32
24670956@N04,60
68328254@N00,277
40037997@N02,154
48889122860@N01,200
89096947@N00,363
17757546@N00,31
22896220@N05,49
36330824413@N01,133
39155920@N04,148
74828704@N00,306
77364115@N06,315
82909078@N07,339
85049343@N00,346
11939556@N00,6
12002368@N08,7
12173213@N00,8
34191106@N00,118
56413961@N00,231
12767075@N02,14
12873985@N00,16
22765417@N06,47
43722173@N05,173
41392618@N06,162
87126425@N00,355
22326777@N06,44
23386158@N00,53
24328671@N07,56
27412055@N03,80
7183730@N06,292
84326824@N00,344
91041933@N00,370
21872605@N00,40
35028640@N00,121
